Tissue-Name,Frequency[Hz],Conductivity[S/m],Relative-Permittivity,Loss-Tangent,Wavelength[m],Penetration-Depth[m],
BrainGreyMatter   ,   6.9000e+8,   8.5558e-1,   5.3972e+1,   4.1298e-1,   5.7966e-2,   4.6508e-2,
BrainGreyMatter   ,   7.0000e+8,   8.5962e-1,   5.3899e+1,   4.0956e-1,   5.7194e-2,   4.6244e-2,
BrainGreyMatter   ,   7.1000e+8,   8.6367e-1,   5.3827e+1,   4.0623e-1,   5.6443e-2,   4.5983e-2,
BrainGreyMatter   ,   7.2000e+8,   8.6772e-1,   5.3757e+1,   4.0299e-1,   5.5712e-2,   4.5725e-2,
BrainGreyMatter   ,   7.3000e+8,   8.7178e-1,   5.3689e+1,   3.9983e-1,   5.4999e-2,   4.5470e-2,
BrainGreyMatter   ,   7.4000e+8,   8.7585e-1,   5.3623e+1,   3.9676e-1,   5.4304e-2,   4.5218e-2,
BrainGreyMatter   ,   7.5000e+8,   8.7993e-1,   5.3558e+1,   3.9377e-1,   5.3627e-2,   4.4970e-2,
BrainGreyMatter   ,   7.6000e+8,   8.8401e-1,   5.3494e+1,   3.9086e-1,   5.2966e-2,   4.4724e-2,
BrainGreyMatter   ,   7.7000e+8,   8.8810e-1,   5.3431e+1,   3.8802e-1,   5.2322e-2,   4.4481e-2,
BrainGreyMatter   ,   7.8000e+8,   8.9221e-1,   5.3370e+1,   3.8526e-1,   5.1693e-2,   4.4240e-2,
BrainGreyMatter   ,   7.9000e+8,   8.9632e-1,   5.3311e+1,   3.8256e-1,   5.1079e-2,   4.4002e-2,
BrainGreyMatter   ,   8.0000e+8,   9.0044e-1,   5.3252e+1,   3.7993e-1,   5.0480e-2,   4.3767e-2,
BrainGreyMatter   ,   8.1000e+8,   9.0457e-1,   5.3195e+1,   3.7737e-1,   4.9895e-2,   4.3534e-2,
BrainGreyMatter   ,   8.2000e+8,   9.0872e-1,   5.3139e+1,   3.7487e-1,   4.9323e-2,   4.3304e-2,
BrainGreyMatter   ,   8.3000e+8,   9.1287e-1,   5.3084e+1,   3.7244e-1,   4.8764e-2,   4.3075e-2,
BrainGreyMatter   ,   8.4000e+8,   9.1703e-1,   5.3029e+1,   3.7006e-1,   4.8217e-2,   4.2849e-2,
BrainGreyMatter   ,   8.5000e+8,   9.2121e-1,   5.2976e+1,   3.6774e-1,   4.7683e-2,   4.2625e-2,
BrainGreyMatter   ,   8.6000e+8,   9.2540e-1,   5.2924e+1,   3.6547e-1,   4.7161e-2,   4.2404e-2,
BrainGreyMatter   ,   8.7000e+8,   9.2960e-1,   5.2873e+1,   3.6326e-1,   4.6650e-2,   4.2184e-2,
BrainGreyMatter   ,   8.8000e+8,   9.3381e-1,   5.2823e+1,   3.6111e-1,   4.6150e-2,   4.1966e-2,
BrainGreyMatter   ,   8.9000e+8,   9.3804e-1,   5.2774e+1,   3.5900e-1,   4.5661e-2,   4.1750e-2,
BrainGreyMatter   ,   9.0000e+8,   9.4227e-1,   5.2725e+1,   3.5694e-1,   4.5182e-2,   4.1536e-2,
BrainGreyMatter   ,   9.1000e+8,   9.4653e-1,   5.2678e+1,   3.5493e-1,   4.4713e-2,   4.1325e-2,
BrainGreyMatter   ,   9.2000e+8,   9.5079e-1,   5.2631e+1,   3.5297e-1,   4.4253e-2,   4.1114e-2,
BrainGreyMatter   ,   9.3000e+8,   9.5507e-1,   5.2585e+1,   3.5105e-1,   4.3803e-2,   4.0906e-2,
BrainGreyMatter   ,   9.4000e+8,   9.5936e-1,   5.2540e+1,   3.4918e-1,   4.3363e-2,   4.0699e-2,
BrainGreyMatter   ,   9.5000e+8,   9.6367e-1,   5.2495e+1,   3.4735e-1,   4.2931e-2,   4.0494e-2,
BrainGreyMatter   ,   9.6000e+8,   9.6798e-1,   5.2451e+1,   3.4556e-1,   4.2507e-2,   4.0291e-2,
BrainGreyMatter   ,   9.7000e+8,   9.7232e-1,   5.2408e+1,   3.4381e-1,   4.2092e-2,   4.0089e-2,
BrainGreyMatter   ,   9.8000e+8,   9.7667e-1,   5.2365e+1,   3.4210e-1,   4.1685e-2,   3.9889e-2,
BrainGreyMatter   ,   9.9000e+8,   9.8103e-1,   5.2324e+1,   3.4043e-1,   4.1286e-2,   3.9691e-2,
BrainGreyMatter   ,   1.0000e+9,   9.8541e-1,   5.2282e+1,   3.3880e-1,   4.0894e-2,   3.9494e-2,
BrainGreyMatter   ,   1.0100e+9,   9.8980e-1,   5.2242e+1,   3.3720e-1,   4.0510e-2,   3.9299e-2,
BrainGreyMatter   ,   1.0200e+9,   9.9421e-1,   5.2202e+1,   3.3564e-1,   4.0133e-2,   3.9105e-2,
BrainGreyMatter   ,   1.0300e+9,   9.9863e-1,   5.2162e+1,   3.3411e-1,   3.9763e-2,   3.8912e-2,
BrainGreyMatter   ,   1.0400e+9,   1.0031e+0,   5.2123e+1,   3.3262e-1,   3.9400e-2,   3.8721e-2,
BrainGreyMatter   ,   1.0500e+9,   1.0075e+0,   5.2085e+1,   3.3116e-1,   3.9044e-2,   3.8531e-2,
BrainGreyMatter   ,   1.0600e+9,   1.0120e+0,   5.2047e+1,   3.2973e-1,   3.8694e-2,   3.8343e-2,
BrainGreyMatter   ,   1.0700e+9,   1.0165e+0,   5.2010e+1,   3.2833e-1,   3.8350e-2,   3.8156e-2,
BrainGreyMatter   ,   1.0800e+9,   1.0210e+0,   5.1973e+1,   3.2696e-1,   3.8012e-2,   3.7970e-2,
BrainGreyMatter   ,   1.0900e+9,   1.0255e+0,   5.1936e+1,   3.2562e-1,   3.7681e-2,   3.7786e-2,
BrainGreyMatter   ,   1.1000e+9,   1.0300e+0,   5.1901e+1,   3.2431e-1,   3.7355e-2,   3.7603e-2,
BrainGreyMatter   ,   1.1100e+9,   1.0346e+0,   5.1865e+1,   3.2303e-1,   3.7034e-2,   3.7421e-2,
BrainGreyMatter   ,   1.1200e+9,   1.0391e+0,   5.1830e+1,   3.2178e-1,   3.6720e-2,   3.7241e-2,
BrainGreyMatter   ,   1.1300e+9,   1.0437e+0,   5.1796e+1,   3.2055e-1,   3.6410e-2,   3.7062e-2,
BrainGreyMatter   ,   1.1400e+9,   1.0483e+0,   5.1761e+1,   3.1935e-1,   3.6106e-2,   3.6884e-2,
BrainGreyMatter   ,   1.1500e+9,   1.0529e+0,   5.1728e+1,   3.1817e-1,   3.5807e-2,   3.6707e-2,
BrainGreyMatter   ,   1.1600e+9,   1.0576e+0,   5.1694e+1,   3.1702e-1,   3.5512e-2,   3.6531e-2,
BrainGreyMatter   ,   1.1700e+9,   1.0622e+0,   5.1661e+1,   3.1590e-1,   3.5223e-2,   3.6357e-2,
BrainGreyMatter   ,   1.1800e+9,   1.0669e+0,   5.1629e+1,   3.1479e-1,   3.4938e-2,   3.6183e-2,
BrainGreyMatter   ,   1.1900e+9,   1.0716e+0,   5.1596e+1,   3.1371e-1,   3.4658e-2,   3.6011e-2,
BrainGreyMatter   ,   1.2000e+9,   1.0763e+0,   5.1565e+1,   3.1266e-1,   3.4383e-2,   3.5840e-2,
BrainGreyMatter   ,   1.2100e+9,   1.0810e+0,   5.1533e+1,   3.1162e-1,   3.4112e-2,   3.5670e-2,
BrainGreyMatter   ,   1.2200e+9,   1.0857e+0,   5.1502e+1,   3.1061e-1,   3.3845e-2,   3.5501e-2,
BrainGreyMatter   ,   1.2300e+9,   1.0905e+0,   5.1471e+1,   3.0962e-1,   3.3582e-2,   3.5333e-2,
BrainGreyMatter   ,   1.2400e+9,   1.0952e+0,   5.1441e+1,   3.0865e-1,   3.3323e-2,   3.5166e-2,
BrainGreyMatter   ,   1.2500e+9,   1.1000e+0,   5.1410e+1,   3.0770e-1,   3.3069e-2,   3.5001e-2,
BrainGreyMatter   ,   1.2600e+9,   1.1048e+0,   5.1381e+1,   3.0677e-1,   3.2818e-2,   3.4836e-2,
BrainGreyMatter   ,   1.2700e+9,   1.1097e+0,   5.1351e+1,   3.0586e-1,   3.2571e-2,   3.4673e-2,
BrainGreyMatter   ,   1.2800e+9,   1.1145e+0,   5.1322e+1,   3.0496e-1,   3.2328e-2,   3.4510e-2,
BrainGreyMatter   ,   1.2900e+9,   1.1194e+0,   5.1293e+1,   3.0409e-1,   3.2088e-2,   3.4348e-2,
BrainGreyMatter   ,   1.3000e+9,   1.1242e+0,   5.1264e+1,   3.0323e-1,   3.1853e-2,   3.4188e-2,
BrainGreyMatter   ,   1.3100e+9,   1.1291e+0,   5.1235e+1,   3.0240e-1,   3.1620e-2,   3.4028e-2,
BrainGreyMatter   ,   1.3200e+9,   1.1340e+0,   5.1207e+1,   3.0158e-1,   3.1391e-2,   3.3870e-2,
BrainGreyMatter   ,   1.3300e+9,   1.1390e+0,   5.1179e+1,   3.0077e-1,   3.1165e-2,   3.3712e-2,
BrainGreyMatter   ,   1.3400e+9,   1.1439e+0,   5.1152e+1,   2.9999e-1,   3.0943e-2,   3.3555e-2,
BrainGreyMatter   ,   1.3500e+9,   1.1489e+0,   5.1124e+1,   2.9922e-1,   3.0723e-2,   3.3399e-2,
BrainGreyMatter   ,   1.3600e+9,   1.1538e+0,   5.1097e+1,   2.9846e-1,   3.0507e-2,   3.3245e-2,
BrainGreyMatter   ,   1.3700e+9,   1.1588e+0,   5.1070e+1,   2.9773e-1,   3.0294e-2,   3.3091e-2,
BrainGreyMatter   ,   1.3800e+9,   1.1639e+0,   5.1043e+1,   2.9700e-1,   3.0084e-2,   3.2938e-2,
BrainGreyMatter   ,   1.3900e+9,   1.1689e+0,   5.1017e+1,   2.9630e-1,   2.9877e-2,   3.2786e-2,
BrainGreyMatter   ,   1.4000e+9,   1.1740e+0,   5.0991e+1,   2.9561e-1,   2.9672e-2,   3.2635e-2,
BrainGreyMatter   ,   1.4100e+9,   1.1790e+0,   5.0965e+1,   2.9493e-1,   2.9471e-2,   3.2485e-2,
BrainGreyMatter   ,   1.4200e+9,   1.1841e+0,   5.0939e+1,   2.9426e-1,   2.9272e-2,   3.2335e-2,
BrainGreyMatter   ,   1.4300e+9,   1.1892e+0,   5.0913e+1,   2.9361e-1,   2.9076e-2,   3.2187e-2,
BrainGreyMatter   ,   1.4400e+9,   1.1944e+0,   5.0888e+1,   2.9298e-1,   2.8882e-2,   3.2039e-2,
BrainGreyMatter   ,   1.4500e+9,   1.1995e+0,   5.0863e+1,   2.9236e-1,   2.8692e-2,   3.1892e-2,
BrainGreyMatter   ,   1.4600e+9,   1.2047e+0,   5.0838e+1,   2.9175e-1,   2.8503e-2,   3.1747e-2,
BrainGreyMatter   ,   1.4700e+9,   1.2098e+0,   5.0813e+1,   2.9115e-1,   2.8317e-2,   3.1602e-2,
BrainGreyMatter   ,   1.4800e+9,   1.2150e+0,   5.0788e+1,   2.9057e-1,   2.8134e-2,   3.1457e-2,
BrainGreyMatter   ,   1.4900e+9,   1.2203e+0,   5.0764e+1,   2.9000e-1,   2.7953e-2,   3.1314e-2,
BrainGreyMatter   ,   1.5000e+9,   1.2255e+0,   5.0739e+1,   2.8944e-1,   2.7774e-2,   3.1172e-2,
BrainGreyMatter   ,   1.5100e+9,   1.2308e+0,   5.0715e+1,   2.8889e-1,   2.7598e-2,   3.1030e-2,
BrainGreyMatter   ,   1.5200e+9,   1.2360e+0,   5.0691e+1,   2.8836e-1,   2.7424e-2,   3.0889e-2,
BrainGreyMatter   ,   1.5300e+9,   1.2413e+0,   5.0668e+1,   2.8783e-1,   2.7252e-2,   3.0749e-2,
BrainGreyMatter   ,   1.5400e+9,   1.2466e+0,   5.0644e+1,   2.8732e-1,   2.7082e-2,   3.0610e-2,
